										
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2023 09 03 07	0.87	3.91	5.13	358	0.33	351	0.71	4.5	358	-9999.9	-9999.9	-9999.9
2023 09 03 08	0.85	4.23	5.65	0	0.09	13	0.75	4.08	359	-9999.9	-9999.9	-9999.9
2023 09 03 09	0.84	4.35	5.65	2	0.13	1	0.77	4.45	5	-9999.9	-9999.9	-9999.9
2023 09 03 10	0.84	4.49	5.65	3	0.08	0	0.77	4.37	6	0.77	28.31	346
2023 09 03 11	0.84	4.67	5.65	3	0.09	8	0.26	13.06	352	0.22	11.1	339
2023 09 03 12	0.83	4.87	6.21	4	0.03	46	0.26	13.0	353	0.19	11.6	342
2023 09 03 13	0.83	5.0	6.21	4	0.0	180	0.27	12.94	353	0.2	11.56	342
2023 09 03 14	0.83	5.14	6.21	4	0.0	180	0.28	12.86	353	0.21	11.51	342
2023 09 03 15	0.84	5.31	6.21	3	0.0	180	0.28	12.8	353	0.21	11.46	342
2023 09 03 16	0.85	5.44	6.21	2	0.0	180	0.28	12.7	354	0.28	10.85	339
2023 09 03 17	0.87	5.57	6.83	1	0.0	180	0.28	12.66	354	0.28	10.93	339
2023 09 03 18	0.89	5.65	6.83	1	0.04	355	0.78	5.23	5	0.78	22.05	347
2023 09 03 19	0.91	5.51	6.83	0	0.09	350	0.8	5.35	4	0.8	22.02	347
2023 09 03 20	0.95	5.12	6.83	359	0.2	340	0.83	5.58	3	0.83	22.04	347
2023 09 03 21	1.01	5.01	6.83	357	0.17	341	0.89	5.2	0	-9999.9	-9999.9	-9999.9
2023 09 03 22	1.04	5.05	7.52	356	0.2	346	0.92	5.36	359	-9999.9	-9999.9	-9999.9
2023 09 03 23	1.06	5.28	7.52	356	0.11	354	0.93	5.15	359	0.43	11.39	350
2023 09 04 00	1.07	5.55	7.52	356	0.06	352	0.9	5.14	1	0.44	11.29	351
2023 09 04 01	1.08	5.76	7.52	356	0.06	352	0.91	5.3	2	0.45	11.19	351
2023 09 04 02	1.11	5.9	9.1	356	0.06	344	0.75	6.12	10	0.46	11.25	352
2023 09 04 03	1.14	6.05	9.1	355	0.0	180	0.77	6.14	9	0.49	11.17	353
2023 09 04 04	1.17	6.24	9.1	355	0.0	180	0.96	5.51	0	0.49	11.1	354
2023 09 04 05	1.2	6.32	9.1	354	0.0	180	0.87	6.23	351	0.66	5.8	12
2023 09 04 06	1.21	6.56	9.1	354	0.0	180	1.11	6.29	359	0.47	8.32	331
2023 09 04 07	1.22	6.83	9.1	354	0.0	180	1.07	7.07	0	0.55	5.92	330
2023 09 04 08	1.23	7.03	9.1	353	0.0	180	1.08	7.24	0	0.55	6.12	330
2023 09 04 09	1.23	6.97	9.1	353	0.04	315	1.08	7.28	359	0.55	6.45	330
2023 09 04 10	1.24	6.82	9.1	353	0.07	319	1.08	7.24	359	0.55	6.4	330
2023 09 04 11	1.25	6.84	9.1	352	0.06	321	1.08	7.23	359	0.56	6.04	330
2023 09 04 12	1.24	6.97	9.1	352	0.03	320	1.07	7.24	359	0.55	6.02	330
2023 09 04 13	1.23	7.12	9.1	352	0.0	180	1.1	7.44	357	0.47	5.36	329
2023 09 04 14	1.23	7.19	9.1	351	0.04	340	1.08	7.57	357	0.47	5.64	329
2023 09 04 15	1.22	7.17	9.1	351	0.0	180	1.07	7.4	356	0.47	5.42	329
2023 09 04 16	1.21	7.16	9.1	351	0.02	355	1.05	7.4	356	0.47	5.4	329
2023 09 04 17	1.21	7.0	9.1	350	0.07	350	1.01	7.41	358	0.53	5.94	330
2023 09 04 18	1.2	6.83	9.1	350	0.08	11	0.99	7.36	358	0.53	5.56	330
2023 09 04 19	1.19	6.87	9.1	350	0.04	22	0.98	6.95	358	0.43	16.27	338
2023 09 04 20	1.18	7.03	9.1	350	0.0	180	0.96	6.9	358	0.46	16.09	338
2023 09 04 21	1.18	7.17	9.1	350	0.0	180	0.95	6.98	358	0.48	15.99	337
2023 09 04 22	1.17	7.3	9.1	349	0.0	180	0.94	7.03	358	0.5	15.9	337
2023 09 04 23	1.17	7.41	9.1	349	0.0	180	0.93	7.06	358	0.52	15.81	337
2023 09 05 00	1.18	7.52	9.1	349	0.0	180	0.93	7.11	358	0.54	15.67	337
2023 09 05 01	1.19	7.65	9.1	349	0.0	180	0.93	7.19	358	0.57	15.6	337
2023 09 05 02	1.2	7.75	9.1	349	0.0	180	0.97	6.79	357	0.59	15.53	336
2023 09 05 03	1.22	7.85	9.1	349	0.0	180	0.98	6.85	357	0.61	15.47	336
2023 09 05 04	1.23	7.95	9.1	349	0.0	180	0.99	6.92	357	0.64	15.38	336
2023 09 05 05	1.25	8.05	14.66	349	0.01	135	1.06	7.15	354	0.66	15.29	336
2023 09 05 06	1.27	8.15	14.66	349	0.01	130	1.07	7.2	355	0.69	15.25	336
2023 09 05 07	1.29	8.24	14.66	349	0.0	180	1.07	7.2	355	0.71	15.22	336
2023 09 05 08	1.3	8.31	14.66	349	0.0	100	1.07	7.21	356	1.07	21.93	336
2023 09 05 09	1.32	8.36	14.66	349	0.01	88	1.07	7.21	356	1.07	21.09	336
2023 09 05 10	1.33	8.4	14.66	349	0.03	64	1.06	7.23	357	1.06	20.25	335
2023 09 05 11	1.34	8.42	14.66	349	0.05	52	1.02	7.26	358	1.02	18.83	335
2023 09 05 12	1.34	8.43	14.66	349	0.06	49	1.01	7.24	359	1.01	17.99	335
2023 09 05 13	1.35	8.46	16.12	348	0.07	47	1.0	7.2	359	1.0	17.17	335
2023 09 05 14	1.36	8.38	16.12	348	0.08	46	0.98	7.17	359	0.98	16.28	335
2023 09 05 15	1.37	8.25	16.12	347	0.09	48	0.97	7.09	359	0.97	15.49	335
2023 09 05 16	1.38	8.2	16.12	347	0.1	52	0.96	14.9	335	0.95	7.01	0
2023 09 05 17	1.39	8.19	16.12	346	0.11	53	0.99	14.87	335	0.96	7.06	358
2023 09 05 18	1.4	8.26	16.12	346	0.11	55	1.02	14.8	335	0.94	7.01	358
2023 09 05 19	1.41	8.4	16.12	345	0.1	57	1.05	14.76	335	0.93	6.96	358
2023 09 05 20	1.41	8.72	16.12	345	0.07	60	1.07	14.71	335	0.92	6.8	359
2023 09 05 21	1.42	9.04	16.12	344	0.05	65	1.09	14.66	335	0.91	6.86	359
2023 09 05 22	1.43	9.24	16.12	344	0.03	81	1.11	14.61	334	0.9	6.86	359
2023 09 05 23	1.44	9.38	16.12	344	0.02	95	1.13	14.55	334	0.89	6.86	359
2023 09 06 00	1.45	9.47	16.12	343	0.03	94	1.15	14.48	334	0.88	6.87	359
2023 09 06 01	1.46	9.53	14.66	343	0.03	83	1.16	14.41	334	0.83	7.12	2
2023 09 06 02	1.47	9.56	14.66	343	0.03	86	1.17	14.3	334	0.83	7.11	2
2023 09 06 03	1.47	9.52	14.66	343	0.04	83	1.18	14.24	334	0.82	7.13	2
2023 09 06 04	1.48	9.14	14.66	342	0.07	70	1.19	14.17	334	0.66	7.5	8
2023 09 06 05	1.48	8.69	14.66	342	0.1	63	1.2	14.1	334	0.65	7.57	8
2023 09 06 06	1.48	8.69	14.66	342	0.09	67	1.2	14.04	334	0.75	7.28	1
2023 09 06 07	1.48	8.78	14.66	342	0.09	72	1.21	13.97	334	0.74	7.28	1
2023 09 06 08	1.47	8.82	14.66	342	0.1	69	1.21	13.9	334	0.74	7.26	1
2023 09 06 09	1.47	8.58	14.66	342	0.16	58	1.21	13.83	334	0.55	7.73	355
2023 09 06 10	1.47	8.37	14.66	342	0.2	55	1.21	13.77	334	0.59	7.94	357
2023 09 06 11	1.46	8.45	14.66	342	0.18	58	1.21	13.7	334	0.74	7.28	2
2023 09 06 12	1.45	8.65	14.66	341	0.15	62	1.21	13.63	334	0.72	7.24	2
2023 09 06 13	1.44	8.73	14.66	341	0.14	59	1.22	13.54	334	0.7	7.18	2
2023 09 06 14	1.44	8.84	13.32	341	0.12	51	1.22	13.47	334	0.69	6.83	2
2023 09 06 15	1.43	9.06	13.32	340	0.1	55	1.23	13.3	334	0.67	6.64	3
2023 09 06 16	1.42	9.18	13.32	340	0.09	57	1.26	12.11	334	0.65	6.64	3
2023 09 06 17	1.42	9.2	13.32	340	0.09	57	1.26	12.05	334	0.62	6.44	2
2023 09 06 18	1.42	9.48	13.32	340	0.03	65	1.27	11.99	334	0.62	6.17	3
2023 09 06 19	1.41	9.69	13.32	339	0.02	62	1.27	11.92	334	0.6	6.69	3
2023 09 06 20	1.41	9.77	13.32	339	0.02	69	1.28	11.86	334	0.59	6.68	3
2023 09 06 21	1.41	9.79	13.32	339	0.02	71	1.28	11.79	334	0.52	6.44	1
